metrics:	ochiai	ochiai2	tarantula	barinel	opt	dstar	meco	sgf_1	sgf_2	fo1	fo2	fo3	fo4	fo5	fo6	fo7	fo8	fo9	fo10	fo12	fo13	fo14	fo15	fo16	fo17	fo19	fo20	fo21	fo22	
Math-78	C-9.0	C-9.0	C-9.0	C-9.0	C-9.0	C-9.0	C-9.0	C-9.0	C-9.0	C-1.0	C-9.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-9.0	C-21.0	C-20.0	C-1.0	C-20.0	C-17.0	C-17.0	C-1.0	C-2.0	C-17.0	C-17.0	C-19.0	C-20.0	
Math-79	30	30	30	30	31	30	30	30	30	480	29	353	406	8	459	482	29	443	137	353	137	7	7	353	48	9	7	84	137	
Math-80	30	30	30	30	30	3162	3162	30	30	3833	19	351	2234	421	4224	30	19	4421	4087	179	4087	4421	617	179	19	605	617	2204	4246	
Math-81	6	6	6	6	6	6	6	6	6	641	8	1682	1682	31	641	641	8	513	448	1682	448	110	105	1682	6	110	105	394	448	
Math-82	29	29	29	29	29	29	29	29	29	1779	28	1442	1457	153	1902	1779	28	576	516	1442	516	175	181	1442	1383	175	181	502	516	
Math-83	10	10	10	10	10	10	10	10	10	1737	9	1365	1386	191	1898	1737	9	501	480	1365	480	151	151	1365	1327	151	151	443	480	
Math-84	26	31	25	25	104	48	91	26	104	106	38	79	84	130	138	131	30	222	191	55	191	117	120	55	26	140	109	168	173	
Math-85	42	42	42	42	41	36	36	42	42	396	45	257	256	90	442	397	45	225	209	257	209	61	70	257	241	61	70	214	209	
Math-86	19	19	36	41	25	19	24	19	25	696	19	56	56	51	696	696	19	630	365	56	376	159	176	56	56	156	176	343	435	
Math-87	106	106	106	106	106	106	106	106	106	1846	107	1563	1593	200	1941	1846	107	459	433	1563	433	150	151	1563	1537	150	151	403	433	
Math-88	1	1	1	1	1	1	1	1	1	1728	1	1161	1288	1	1897	1728	1	650	606	1161	606	253	251	1161	1	253	251	572	606	
Math-89	1	1	1	1	1	1	1	1	1	58	1	18	25	1	79	1	1	79	64	18	64	26	2	18	1	1	2	41	64	
Math-90	3	3	3	3	3	3	3	3	3	105	8	60	77	6	99	105	8	101	46	60	46	1	1	60	6	1	1	31	46	
Math-91	1	1	1	1	1	330	330	1	1	432	1	1	214	1	453	1	1	468	459	3	459	468	38	3	1	37	38	257	464	
Math-92	2	2	2	2	2	2	2	2	2	143	2	85	85	11	143	2	2	50	49	85	49	11	11	85	2	11	11	47	49	
Math-93	2	2	2	2	2	1	1	2	2	213	2	113	150	9	214	2	2	214	82	113	82	2	6	113	2	2	6	67	82	
Math-94	20	20	20	20	20	20	20	20	20	206	21	219	219	21	214	206	21	17	16	219	16	1	15	219	217	1	15	16	16	
