Project,Bug,barinel_Top-1,barinel_Top-3,barinel_Top-5,barinel_EXAM,barinel_MFR,barinel_MAR,dstar_Top-1,dstar_Top-3,dstar_Top-5,dstar_EXAM,dstar_MFR,dstar_MAR,jaccard_Top-1,jaccard_Top-3,jaccard_Top-5,jaccard_EXAM,jaccard_MFR,jaccard_MAR,meco_Top-1,meco_Top-3,meco_Top-5,meco_EXAM,meco_MFR,meco_MAR,ochiai_Top-1,ochiai_Top-3,ochiai_Top-5,ochiai_EXAM,ochiai_MFR,ochiai_MAR,ochiai2_Top-1,ochiai2_Top-3,ochiai2_Top-5,ochiai2_EXAM,ochiai2_MFR,ochiai2_MAR,opt_Top-1,opt_Top-3,opt_Top-5,opt_EXAM,opt_MFR,opt_MAR,tarantula_Top-1,tarantula_Top-3,tarantula_Top-5,tarantula_EXAM,tarantula_MFR,tarantula_MAR,sgf_1_Top-1,sgf_1_Top-3,sgf_1_Top-5,sgf_1_EXAM,sgf_1_MFR,sgf_1_MAR,sgf_2_Top-1,sgf_2_Top-3,sgf_2_Top-5,sgf_2_EXAM,sgf_2_MFR,sgf_2_MAR,fo1_Top-1,fo1_Top-3,fo1_Top-5,fo1_EXAM,fo1_MFR,fo1_MAR,fo2_Top-1,fo2_Top-3,fo2_Top-5,fo2_EXAM,fo2_MFR,fo2_MAR,fo7_Top-1,fo7_Top-3,fo7_Top-5,fo7_EXAM,fo7_MFR,fo7_MAR,fo8_Top-1,fo8_Top-3,fo8_Top-5,fo8_EXAM,fo8_MFR,fo8_MAR,fo17_Top-1,fo17_Top-3,fo17_Top-5,fo17_EXAM,fo17_MFR,fo17_MAR
Lang,12,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Lang,13,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.42857142857142855,2.0,2.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.42857142857142855,3.0,3.0,0.0,1.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,1.0,0.2857142857142857,3.0,3.0
Lang,14,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9913793103448276,3.0,3.0,0.0,1.0,1.0,0.008771929824561403,2.0,2.0,0.0,1.0,1.0,0.9913793103448276,3.0,3.0,0.0,1.0,1.0,0.008771929824561403,2.0,2.0,0.0,0.0,0.0,0.9568965517241379,11.0,11.0
Lang,15,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.5
Lang,16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9527027027027027,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9527027027027027,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Lang,17,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.38823529411764707,9.0,9.0,0.0,0.0,0.0,0.9764705882352941,11.0,11.0,0.0,0.0,0.0,0.4146341463414634,10.0,10.0,0.0,0.0,0.0,0.9764705882352941,11.0,11.0,0.0,0.0,0.0,0.4146341463414634,10.0,10.0,0.0,0.0,0.0,0.9764705882352941,22.0,22.0
Lang,18,0.0,0.0,0.0,0.5529411764705883,18.0,18.0,0.0,0.0,0.0,0.5411764705882353,17.0,17.0,0.0,0.0,0.0,0.5529411764705883,18.0,18.0,0.0,0.0,0.0,0.5411764705882353,17.0,17.0,0.0,0.0,0.0,0.5529411764705883,18.0,18.0,0.0,0.0,0.0,0.5529411764705883,18.0,18.0,0.0,0.0,0.0,0.5529411764705883,18.0,18.0,0.0,0.0,0.0,0.5529411764705883,18.0,18.0,0.0,0.0,0.0,0.5529411764705883,18.0,18.0,0.0,0.0,0.0,0.5529411764705883,18.0,18.0,0.0,0.0,0.0,0.9882352941176471,18.0,18.0,0.0,0.0,0.0,0.6103896103896104,18.0,18.0,0.0,0.0,0.0,0.9882352941176471,18.0,18.0,0.0,0.0,0.0,0.6103896103896104,18.0,18.0,0.0,0.0,0.0,0.9882352941176471,28.0,28.0
Lang,19,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.75,4.0,4.0,0.0,1.0,1.0,0.25,3.0,3.0,0.0,0.0,1.0,0.75,4.0,4.0,0.0,1.0,1.0,0.25,3.0,3.0,0.0,1.0,1.0,0.25,3.0,3.0
Lang,20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.009345794392523364,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.009433962264150943,2.0,2.0,0.0,1.0,1.0,0.009345794392523364,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.009345794392523364,2.0,2.0
Lang,21,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.022727272727272728,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.022727272727272728,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9545454545454546,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
