metrics:	ochiai	ochiai2	tarantula	barinel	opt	dstar	meco	sgf_1	sgf_2	fo1	fo2	fo3	fo4	fo5	fo6	fo7	fo8	fo9	fo10	fo12	fo13	fo14	fo15	fo16	fo17	fo19	fo20	fo21	fo22	
JxPath-12	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	41.0	40.0	99.0	102.0	1.0	2.0	41.0	40.0	165.0	160.0	99.0	160.0	65.0	65.0	99.0	96.0	65.0	65.0	159.0	160.0	
JxPath-13	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	5.0	1.0	1.0	2.0	2.0	216.0	215.0	3.0	215.0	88.0	88.0	3.0	2.0	88.0	88.0	212.0	215.0	
JxPath-14	1.0	1.0	1.0	1.0	1.0	233.0	233.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	280.0	278.0	1.0	278.0	158.0	157.0	1.0	1.0	157.0	157.0	276.0	278.0	
JxPath-15	4.0	4.0	5.0	6.0	4.0	4.0	4.0	4.0	4.0	18.0	4.0	12.0	21.0	1.0	3.0	9.0	4.0	296.0	285.0	15.0	288.0	150.0	154.0	17.0	7.0	141.0	154.0	282.0	290.0	
JxPath-16	45.0	53.0	21.0	37.0	199.0	50.0	32.0	45.0	111.0	42.0	105.0	61.0	56.0	2.0	3.0	45.0	92.0	290.0	303.0	53.0	298.0	181.0	119.0	52.0	62.0	184.0	102.0	299.0	292.0	
JxPath-17	1.0	1.0	1.0	1.0	205.0	3.0	22.0	1.0	116.0	2.0	2.0	2.0	4.0	2.0	2.0	1.0	1.0	260.0	263.0	1.0	260.0	163.0	72.0	1.0	4.0	166.0	63.0	262.0	258.0	
JxPath-18	35.0	44.0	35.0	50.0	34.0	34.0	53.0	35.0	34.0	75.0	46.0	98.0	112.0	1.0	3.0	75.0	46.0	225.0	212.0	100.0	215.0	112.0	140.0	105.0	94.0	112.0	140.0	206.0	219.0	
JxPath-19	19.0	18.0	9.0	9.0	125.0	17.0	10.0	19.0	55.0	6.0	51.0	28.0	27.0	2.0	2.0	8.0	48.0	222.0	225.0	26.0	223.0	108.0	12.0	26.0	27.0	109.0	12.0	222.0	218.0	
JxPath-20	1.0	1.0	1.0	1.0	1.0	109.0	109.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	253.0	252.0	1.0	252.0	92.0	91.0	1.0	1.0	91.0	91.0	250.0	252.0	
JxPath-21	49.0	63.0	67.0	83.0	30.0	49.0	111.0	49.0	30.0	199.0	90.0	262.0	285.0	1.0	3.0	199.0	91.0	113.0	90.0	268.0	97.0	44.0	151.0	274.0	255.0	44.0	152.0	80.0	102.0	
JxPath-22	3.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	1.0	3.0	5.0	8.0	1.0	1.0	3.0	3.0	156.0	159.0	5.0	159.0	95.0	95.0	5.0	3.0	95.0	95.0	163.0	159.0	
Jsoup-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
