Project,Bug,barinel_Top-1,barinel_Top-3,barinel_Top-5,barinel_EXAM,barinel_MFR,barinel_MAR,dstar_Top-1,dstar_Top-3,dstar_Top-5,dstar_EXAM,dstar_MFR,dstar_MAR,jaccard_Top-1,jaccard_Top-3,jaccard_Top-5,jaccard_EXAM,jaccard_MFR,jaccard_MAR,meco_Top-1,meco_Top-3,meco_Top-5,meco_EXAM,meco_MFR,meco_MAR,ochiai_Top-1,ochiai_Top-3,ochiai_Top-5,ochiai_EXAM,ochiai_MFR,ochiai_MAR,ochiai2_Top-1,ochiai2_Top-3,ochiai2_Top-5,ochiai2_EXAM,ochiai2_MFR,ochiai2_MAR,opt_Top-1,opt_Top-3,opt_Top-5,opt_EXAM,opt_MFR,opt_MAR,tarantula_Top-1,tarantula_Top-3,tarantula_Top-5,tarantula_EXAM,tarantula_MFR,tarantula_MAR,sgf_1_Top-1,sgf_1_Top-3,sgf_1_Top-5,sgf_1_EXAM,sgf_1_MFR,sgf_1_MAR,sgf_2_Top-1,sgf_2_Top-3,sgf_2_Top-5,sgf_2_EXAM,sgf_2_MFR,sgf_2_MAR,fo1_Top-1,fo1_Top-3,fo1_Top-5,fo1_EXAM,fo1_MFR,fo1_MAR,fo2_Top-1,fo2_Top-3,fo2_Top-5,fo2_EXAM,fo2_MFR,fo2_MAR,fo7_Top-1,fo7_Top-3,fo7_Top-5,fo7_EXAM,fo7_MFR,fo7_MAR,fo8_Top-1,fo8_Top-3,fo8_Top-5,fo8_EXAM,fo8_MFR,fo8_MAR,fo17_Top-1,fo17_Top-3,fo17_Top-5,fo17_EXAM,fo17_MFR,fo17_MAR
Lang,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
Lang,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang,3,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
Lang,4,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
Lang,5,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
Lang,6,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.034433794817181396,9.0,9.0,0.0,0.0,0.0,0.9879304224352148,10.0,10.0,0.0,0.0,0.0,0.03480444922856118,9.0,9.0,0.0,0.0,0.0,0.9879304224352148,10.0,10.0,0.0,0.0,0.0,0.03480444922856118,9.0,9.0,0.0,0.0,0.0,0.9815406460773873,34.0,34.0
Lang,7,0.0,1.0,1.0,0.016242555495397944,2.0,2.6666666666666665,1.0,1.0,1.0,0.012994044396318355,1.0,1.6666666666666667,0.0,1.0,1.0,0.016242555495397944,2.0,2.6666666666666665,1.0,1.0,1.0,0.012994044396318355,1.0,1.6666666666666667,0.0,1.0,1.0,0.016242555495397944,2.0,2.6666666666666665,0.0,1.0,1.0,0.016242555495397944,2.0,2.6666666666666665,0.0,1.0,1.0,0.016242555495397944,2.0,2.6666666666666665,0.0,1.0,1.0,0.016242555495397944,2.0,2.6666666666666665,0.0,1.0,1.0,0.016242555495397944,2.0,2.6666666666666665,0.0,1.0,1.0,0.016242555495397944,2.0,2.6666666666666665,0.0,1.0,1.0,0.9047103410936654,3.0,3.6666666666666665,0.0,1.0,1.0,0.01652892561983471,2.0,2.6666666666666665,0.0,1.0,1.0,0.01353546291283162,2.0,3.3333333333333335,0.0,1.0,1.0,0.01652892561983471,2.0,2.6666666666666665,0.0,1.0,1.0,0.016242555495397944,2.0,2.6666666666666665
Lang,8,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
Lang,9,0.0,0.0,0.0,0.09461426491994178,15.0,15.0,0.0,0.0,0.0,0.08733624454148471,12.0,12.0,0.0,0.0,0.0,0.09461426491994178,15.0,15.0,0.0,0.0,0.0,0.2066957787481805,21.0,21.0,0.0,0.0,0.0,0.08733624454148471,12.0,12.0,0.0,0.0,0.0,0.09461426491994178,15.0,15.0,0.0,0.0,0.0,0.046579330422125184,9.0,9.0,0.0,0.0,0.0,0.09461426491994178,14.0,14.0,0.0,0.0,0.0,0.08733624454148471,12.0,12.0,0.0,0.0,0.0,0.11790393013100436,17.0,17.0,0.0,0.0,0.0,0.9170305676855895,15.0,15.0,0.0,1.0,1.0,0.06698564593301436,3.0,3.0,0.0,0.0,0.0,0.9170305676855895,15.0,15.0,0.0,1.0,1.0,0.06698564593301436,3.0,3.0,0.0,0.0,0.0,0.4032023289665211,13.0,13.0
Lang,10,0.0,0.0,0.0,0.09668109668109669,10.0,13.166666666666666,0.0,0.0,0.0,0.09668109668109669,10.0,11.666666666666666,0.0,0.0,0.0,0.09668109668109669,10.0,12.666666666666666,0.0,0.0,0.0,0.11688311688311688,13.0,17.666666666666668,0.0,0.0,0.0,0.09668109668109669,10.0,11.666666666666666,0.0,0.0,0.0,0.09668109668109669,10.0,13.166666666666666,0.0,0.0,0.0,0.08513708513708514,7.0,8.666666666666666,0.0,0.0,0.0,0.09668109668109669,9.0,11.666666666666666,0.0,0.0,0.0,0.09668109668109669,10.0,11.666666666666666,0.0,0.0,0.0,0.09668109668109669,9.0,12.833333333333334,0.0,0.0,0.0,0.8903318903318903,17.0,20.833333333333332,0.0,0.0,1.0,0.11746031746031746,5.0,8.833333333333334,0.0,0.0,0.0,0.8903318903318903,17.0,20.833333333333332,0.0,0.0,1.0,0.11746031746031746,5.0,8.833333333333334,0.0,0.0,0.0,0.4935064935064935,17.0,32.166666666666664
